Symbol,Security Name,Listing Exchange,Financial Status,Test Issue,Market Category,Round Lot Size
CNCKW,Coincheck Group N.V. - Warrants,Q,N,N,S,100.0
COCHW,"Envoy Medical, Inc. - Warrant",Q,D,N,S,100.0
COEPW,"Coeptis Therapeutics Holdings, Inc. - Warrants",Q,D,N,S,100.0
COOTW,Australian Oilseeds Holdings Limited - Warrant,Q,N,N,S,100.0
CORZW,"Core Scientific, Inc. - Tranche 1 Warrants",Q,N,N,Q,100.0
CORZZ,"Core Scientific, Inc. - Tranche 2 Warrants",Q,N,N,Q,100.0
CRACW,Crown Reserve Acquisition Corp. I - Warrant,Q,N,N,G,100.0
CRESW,Cresud S.A.C.I.F. y A. - Warrant,Q,N,N,S,100.0
CREVW,Carbon Revolution Public Limited Company - Warrant,Q,E,N,S,100.0
CRGOW,Freightos Limited - Warrants,Q,N,N,S,100.0
CRMLW,Critical Metals Corp. - Warrants,Q,N,N,S,100.0
CUBWW,Lionheart Holdings - Warrant,Q,N,N,G,100.0
CXAIW,CXApp Inc. - Warrant,Q,N,N,S,100.0
CYCUW,"Cycurion, Inc. - Warrants",Q,N,N,S,100.0
DAAQW,Digital Asset Acquisition Corp. - Warrant,Q,N,N,G,100.0
DAICW,"CID HoldCo, Inc. - Warrants",Q,N,N,G,100.0
DAVEW,Dave Inc.  - Warrants,Q,N,N,G,100.0
DC.W,"Dakota Gold Corp. Warrants, each warrant exercisable for one Common Share at an exercise price of $2.08",A,N,N, ,100.0
DFDVW,DeFi Development Corp. - Warrant,Q,N,N,S,100.0
DFLIW,Dragonfly Energy Holdings Corp - Warrant,Q,N,N,S,100.0
DJTWW,Trump Media & Technology Group Corp. - Warrants,Q,N,N,G,100.0
DNMXW,Dynamix Corporation III - Warrants,Q,N,N,G,100.0
DRDBW,Roman DBDR Acquisition Corp. II - Warrants,Q,N,N,G,100.0
DRMAW,"Dermata Therapeutics, Inc. - Warrant",Q,N,N,S,100.0
DRTSW,Alpha Tau Medical Ltd. - Warrant,Q,N,N,S,100.0
DSX.W,Diana Shipping inc. Warrants,N,N,N, ,100.0
DSYWW,Big Tree Cloud Holdings Limited - Warrants,Q,N,N,S,100.0
DTSTW,Data Storage Corporation - Warrant,Q,N,N,S,100.0
DYORW,Insight Digital Partners II - Warrants,Q,N,N,G,100.0
ECXWW,ECARX Holdings Inc. - Warrants,Q,N,N,S,100.0
EDBLW,Edible Garden AG Incorporated - Warrant,Q,N,N,S,100.0
ENGNW,enGene Holdings Inc. - Warrants,Q,N,N,S,100.0
ESGLW,ESGL Holdings Limited - Warrants,Q,N,N,S,100.0
ESLAW,"Estrella Immunopharma, Inc. - Warrant",Q,D,N,S,100.0
ETHMW,Dynamix Corporation - Warrant,Q,N,N,G,100.0
EUDAW,Euda Health Holdings Limited - Warrant,Q,N,N,S,100.0
EVAC.W,"EQV Ventures Acquisition Corp. II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N,N,N, ,100.0
EVLVW,"Evolv Technologies Holdings, Inc. - Warrant",Q,N,N,S,100.0
EVOXW,Evolution Global Acquisition Corp - Warrants,Q,N,N,G,100.0
EXEEL,Expand Energy Corporation - Class C Warrants,Q,N,N,Q,100.0
EXEEW,Expand Energy Corporation - Class A Warrants,Q,N,N,S,100.0
EXEEZ,Expand Energy Corporation - Class B Warrants,Q,N,N,S,100.0
FACTW,FACT II Acquisition Corp. - Warrant,Q,N,N,G,100.0
FBYDW,"Falcon's Beyond Global, Inc. - Warrants",Q,N,N,S,100.0
FFAIW,Faraday Future Intelligent Electric Inc. - Warrant,Q,N,N,S,100.0
FLDDW,"Fold Holdings, Inc. - Warrant",Q,N,N,S,100.0
FMSTW,Foremost Clean Energy Ltd. - Warrant,Q,N,N,S,100.0
FOXXW,Foxx Development Holdings Inc. - Warrant,Q,D,N,S,100.0
FUFUW,BitFuFu Inc. - Warrant,Q,N,N,S,100.0
FUSEW,Fusemachines Inc. - Warrants,Q,E,N,S,100.0
GCLWW,GCL Global Holdings Ltd - Warrants,Q,N,N,Q,100.0
GDEVW,GDEV Inc. - Warrant,Q,N,N,G,100.0
GFAIW,"Guardforce AI Co., Limited - Warrant",Q,N,N,S,100.0
GGROW,Gogoro Inc. - Warrant,Q,N,N,S,100.0
GIBOW,GIBO Holdings Limited - Warrants,Q,N,N,S,100.0
GIGGW,GigCapital7 Corp. - Warrant,Q,N,N,G,100.0
GIPRW,Generation Income Properties Inc. - Warrant,Q,D,N,S,100.0
GPACW,General Purpose Acquisition Corp. - Warrant,Q,N,N,G,100.0
GPATW,GP-Act III Acquisition Corp. - Warrants,Q,N,N,G,100.0
GRABW,Grab Holdings Limited - Warrant,Q,N,N,Q,100.0
GRAF.W,"Graf Global Corp. Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",A,N,N, ,100.0
GROY.W,Gold Royalty Corp. Warrants,A,N,N, ,100.0
GRRRW,Gorilla Technology Group Inc. - Warrant,Q,N,N,S,100.0
GSHRW,Gesher Acquisition Corp. II - Warrants,Q,N,N,G,100.0
GTENW,"Gores Holdings X, Inc. - Warrants",Q,N,N,G,100.0
GTERW,Globa Terra Acquisition Corporation - Warrants,Q,N,N,G,100.0
GWH.W,"ESS Tech, Inc. Warrant",N,N,N, ,100.0
HCMAW,HCM III Acquisition Corp. - Warrants,Q,N,N,G,100.0
HLLY.W,Holley Inc. Warrants,N,N,N, ,100.0
HOLOW,MicroCloud Hologram Inc. - Warrant,Q,N,N,S,100.0
HOVRW,New Horizon Aircraft Ltd. - Warrant,Q,N,N,S,100.0
HPAIW,Helport AI Limited - Warrants,Q,N,N,S,100.0
HSCSW,HeartSciences Inc. - Warrant,Q,N,N,S,100.0
HTZWW,"Hertz Global Holdings, Inc - Warrant",Q,N,N,Q,100.0
HUBCW,Hub Cyber Security Ltd. - Warrant expiring 2/27/28,Q,N,N,S,100.0
HUBCZ,Hub Cyber Security Ltd. - Warrant,Q,N,N,S,100.0
HUMAW,"Humacyte, Inc. - Warrant",Q,N,N,Q,100.0
HVMCW,Highview Merger Corp. - Warrants,Q,N,N,G,100.0
HYAC.U,"Haymaker Acquisition Corp. 4 Units, each consisting one Class A Ordinary Share and one-half of one redeemable Warrant",N,N,N, ,100.0
HYAC.W,"Haymaker Acquisition Corp. 4 Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N,N,N, ,100.0
IAUX.W,"i-80 Gold Corp. Warrants, each warrant exercisable for one Common Share at an exercise price of $0.70",A,N,N, ,100.0
ICUCW,SeaStar Medical Holding Corporation - Warrant,Q,N,N,S,100.0
IINNW,Inspira Technologies Oxy B.H.N. Ltd. - Warrant,Q,N,N,S,100.0
IMSRW,Terrestrial Energy Inc. - Warrant,Q,N,N,Q,100.0
INVZW,Innoviz Technologies Ltd. - Warrant,Q,N,N,S,100.0
IPODW,Dune Acquisition Corporation II - Warrants,Q,N,N,G,100.0
IRS.W,IRSA Inversiones Y Representaciones S.A. Warrants to purchase Common Shares,N,N,N, ,100.0
ISPOW,Inspirato Incorporated - Warrant,Q,N,N,G,100.0
ITHAW,ITHAX Acquisition Corp III - Warrants,Q,N,N,G,100.0
IVDAW,"Iveda Solutions, Inc. - Warrant",Q,N,N,S,100.0
JFBRW,Jeffs' Brands Ltd - Warrant,Q,N,N,S,100.0
JOBY.W,"Joby Aviation, Inc. Warrants",N,N,N, ,100.0
JSPRW,"Jasper Therapeutics, Inc. - Warrant",Q,N,N,S,100.0
KDKRW,"Kodiak AI, Inc. - Warrant",Q,N,N,S,100.0
KIDZW,"Classover Holdings, Inc. - Warrants",Q,N,N,S,100.0
KITTW,"Nauticus Robotics, Inc. - Warrant",Q,D,N,S,100.0
KLTOW,"Klotho Neurosciences, Inc. - Warrants",Q,N,N,S,100.0
KOYNW,CSLM Digital Asset Acquisition Corp III - Warrants,Q,N,N,G,100.0
KPLTW,"Katapult Holdings, Inc. - Warrant",Q,N,N,G,100.0
KTTAW,Pasithea Therapeutics Corp. - Warrant,Q,N,N,S,100.0
KVACW,Keen Vision Acquisition Corporation - Warrant,Q,N,N,G,100.0
KWMWW,"K Wave Media, Ltd. - Warrant",Q,N,N,S,100.0
KYIVW,Kyivstar Group Ltd. - Warrant,Q,N,N,S,100.0
LANV.W,"Lanvin Group Holdings Limited Redeemable Warrants, each whole warrant exercisable for one Ordinary Share at an exercise price of $11.50",N,N,N, ,100.0
LATAW,Galata Acquisition Corp. II - Warrant,Q,N,N,G,100.0
LCFYW,Locafy Limited - Warrant,Q,N,N,S,100.0
LEGT.W,"Legato Merger Corp. III Redeemable Warrants, each whole warrant exercisable for one ordinary share at an exercise price of $11.50 per share",A,N,N, ,100.0
LIDRW,"AEye, Inc. - Warrant",Q,N,N,S,100.0
LIMNW,"Liminatus Pharma, Inc. - Warrants",Q,N,N,S,100.0
LMND.W,"Lemonade, Inc. Warrants",A,N,N, ,100.0
LNZAW,"LanzaTech Global, Inc. - Warrant",Q,N,N,S,100.0
LOKVW,Live Oak Acquisition Corp. V - Warrants,Q,N,N,G,100.0
LOTWW,Lotus Technology Inc. - Warrants,Q,N,N,S,100.0
LPAAW,Launch One Acquisition Corp. - Warrant,Q,N,N,G,100.0
LPBBW,Launch Two Acquisition Corp. - Warrant,Q,N,N,G,100.0
LTRYW,"Lottery.com, Inc. - Warrant",Q,N,N,G,100.0
LUCYW,"Innovative Eyewear, Inc. - Warrants",Q,N,N,S,100.0
LVROW,Lavoro Limited - Warrant,Q,N,N,G,100.0
LWACW,LightWave Acquisition Corp. - Warrants,Q,N,N,G,100.0
LZM.W,Lifezone Metals Limited Warrants,N,N,N, ,100.0
MACIW,Melar Acquisition Corp. I - Warrant,Q,N,N,G,100.0
MAPSW,"WM Technology, Inc. - Warrants",Q,N,N,Q,100.0
MBAVW,M3-Brigade Acquisition V Corp. - Warrant,Q,N,N,G,100.0
MBVIW,M3-Brigade Acquisition VI Corp. - Warrant,Q,N,N,G,100.0
MCGAW,Yorkville Acquisition Corp. - Warrant,Q,N,N,G,100.0
MDAIW,"Spectral AI, Inc. - Warrants",Q,N,N,S,100.0
MDCXW,Medicus Pharma Ltd. - Warrant,Q,N,N,S,100.0
MKDWW,MKDWELL Tech Inc. - Warrants,Q,N,N,S,100.0
MLECW,Moolec Science SA - Warrant,Q,H,N,S,100.0
MMTXW,Miluna Acquisition Corp - Warrant,Q,N,N,G,100.0
MNTSW,Momentus Inc. - Warrant,Q,N,N,S,100.0
MNYWW,MoneyHero Limited - Warrants,Q,N,N,G,100.0
MOBBW,Mobilicom Limited - Warrants,Q,N,N,S,100.0
MOBXW,"Mobix Labs, Inc. - Warrants",Q,D,N,S,100.0
MRNOW,Murano Global Investments PLC - Warrants,Q,N,N,S,100.0
MSAIW,"MultiSensor AI Holdings, Inc. - Warrants",Q,N,N,S,100.0
MTEKW,Maris-Tech Ltd. - Warrants,Q,N,N,S,100.0
MVSTW,"Microvast Holdings, Inc. - Warrant",Q,N,N,S,100.0
MYPSW,"PLAYSTUDIOS, Inc.  - Warrant",Q,N,N,G,100.0
MYSEW,"Myseum, Inc. - Series A Warrant",Q,N,N,S,100.0
NAMMW,Namib Minerals - Warrants,Q,N,N,S,100.0
NAMSW,NewAmsterdam Pharma Company N.V. - Warrant,Q,N,N,G,100.0
NE.A,Noble Corporation plc Tranche 2 Warrants,N,N,N, ,100.0
NE.W,Noble Corporation plc Tranche 1 Warrants,N,N,N, ,100.0
NEOVW,NeoVolta Inc. - Warrant,Q,N,N,S,100.0
NHICW,NewHold Investment Corp III - Warrants,Q,N,N,G,100.0
NIOBW,NioCorp Developments Ltd. - Warrant,Q,N,N,S,100.0
NIVFW,NewGenIvf Group Limited - Warrants,Q,N,N,S,100.0
NIXXW,"Nixxy, Inc. - Warrant",Q,N,N,S,100.0
NNAVW,NextNav Inc. - Warrant,Q,N,N,S,100.0
NOEMW,CO2 Energy Transition Corp. - Warrant,Q,N,N,G,100.0
NOTE.W,"FiscalNote Holdings, Inc. Warrants to purchase one share of Class A common stock, each at an exercise price of $11.50 per share",N,N,N, ,100.0
NPACW,New Providence Acquisition Corp. III - Warrants,Q,N,N,G,100.0
NRSNW,NeuroSense Therapeutics Ltd. - Warrant,Q,N,N,S,100.0
NRXPW,"NRX Pharmaceuticals, Inc. - Warrant",Q,D,N,S,100.0
NTRBW,Nutriband Inc. - Warrant,Q,N,N,S,100.0
NTWOW,Newbury Street II Acquisition Corp - Warrant,Q,N,N,G,100.0
NUAIW,"New Era Energy & Digital, Inc. - Warrants",Q,N,N,S,100.0
NUKKW,Nukkleus Inc. - Warrants,Q,N,N,S,100.0
NUVB.W,Nuvation Bio Inc. Warrants,N,N,N, ,100.0
NVAWW,Nova Minerals Limited - Warrant,Q,N,N,S,100.0
NVNIW,Nvni Group Limited - Warrants,Q,N,N,S,100.0
NVVEW,Nuvve Holding Corp. - Warrant,Q,N,N,S,100.0
NXGLW,"NexGel, Inc - Warrant",Q,N,N,S,100.0
NXPLW,NextPlat Corp - Warrants,Q,N,N,S,100.0
OABIW,"OmniAb, Inc. - Warrant",Q,N,N,S,100.0
OACCW,Oaktree Acquisition Corp. III Life Sciences - Warrant,Q,N,N,G,100.0
OAKUW,Oak Woods Acquisition Corporation - Warrant,Q,H,N,S,100.0
OBAWW,Oxley Bridge Acquisition Limited - Warrants,Q,N,N,G,100.0
OCSAW,Oculis Holding AG - Warrants,Q,N,N,G,100.0
ODVWZ,Osisko Development Corp. - Warrant,Q,N,N,S,100.0
ONCHW,1RT Acquisition Corp. - Warrant,Q,N,N,G,100.0
ONFOW,Onfolio Holdings Inc. - Warrant,Q,N,N,S,100.0
ONMDW,OneMedNet Corp - Warrant,Q,N,N,S,100.0
OPFI.W,OppFi Inc. Warrants,N,N,N, ,100.0
OPTXW,"Syntec Optics Holdings, Inc. - Warrant",Q,N,N,S,100.0
ORGNW,"Origin Materials, Inc. - Warrant",Q,N,N,S,100.0
ORIQW,Origin Investment Corp I - Redeemable Warrant,Q,N,N,G,100.0
OSRHW,"OSR Holdings, Inc. - Warrant",Q,N,N,S,100.0
OTGAW,OTG Acquisition Corp. I - Warrants,Q,N,N,G,100.0
OUSTZ,"Ouster, Inc. - Warrants",Q,N,N,S,100.0
OXBRW,Oxbridge Re Holdings Limited - Warrant,Q,N,N,S,100.0
OXY.W,Occidental Petroleum Corporation Warrants ,N,N,N, ,100.0
PACHW,Pioneer Acquisition I Corp - Warrants,Q,N,N,G,100.0
PAII.W,"Pyrophyte Acquisition Corp. II Warrants, each whole warrant exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share",N,N,N, ,100.0
PBMWW,Psyence Biomedical Ltd. - Warrant,Q,N,N,S,100.0
PCAPW,ProCap Acquisition Corp - Warrant,Q,N,N,G,100.0
PCTTW,"PureCycle Technologies, Inc. - Warrant",Q,N,N,S,100.0
PDYNW,Palladyne AI Corp. - Warrant,Q,N,N,G,100.0
PERF.W,"Perfect Corp. Warrants, each exercisable for one Class A Ordinary Share at a price of $11.50 per share",N,N,N, ,100.0
PGYWW,Pagaya Technologies Ltd. - Warrants,Q,N,N,S,100.0
PIIIW,P3 Health Partners Inc. - Warrant,Q,D,N,S,100.0
PLMKW,Plum Acquisition Corp. IV - Warrants,Q,N,N,G,100.0
PMTRW,Perimeter Acquisition Corp. I - Warrant,Q,N,N,G,100.0
POLEW,Andretti Acquisition Corp. II - Warrant,Q,N,N,G,100.0
PRENW,Prenetics Global Limited - Warrant,Q,N,N,S,100.0
PSQH.W,"PSQ Holdings, Inc. Warrants, each exercisable for one share of Class A common stock at an exercise price of $11.50 per share",N,N,N, ,100.0
QSIAW,Quantum-Si Incorporated - Warrant,Q,N,N,G,100.0
RAAQW,Real Asset Acquisition Corp. - Warrants,Q,N,N,G,100.0
RAC.U,Rithm Acquisition Corp. Units (each consists of one Class A Ordinary Share and one-third of one redeemable Warrant),N,N,N, ,100.0
RAINW,"Rain Enhancement Technologies Holdco, Inc. - Warrants",Q,N,N,S,100.0
RCKTW,"Rocket Pharmaceuticals, Inc. - Warrant",Q,N,N,S,100.0
RDAGW,Republic Digital Acquisition Company - Warrants,Q,N,N,G,100.0
RDZNW,"Roadzen, Inc. - Warrants",Q,N,N,S,100.0
RELIW,"Reliance Global Group, Inc. - Series A Warrants",Q,N,N,S,100.0
REVBW,"Revelation Biosciences, Inc. - Warrant",Q,N,N,S,100.0
RMCOW,Royalty Management Holding Corporation - Warrant,Q,N,N,S,100.0
RMSGW,Real Messenger Corporation - Warrants,Q,N,N,S,100.0
RNGTW,Range Capital Acquisition Corp II - Warrants,Q,N,N,G,100.0
RNWWW,ReNew Energy Global plc - Warrant,Q,N,N,Q,100.0
RSVRW,"Reservoir Media, Inc.. - Warrant",Q,N,N,G,100.0
RTACW,Renatus Tactical Acquisition Corp I - Warrant,Q,N,N,G,100.0
RUMBW,Rumble Inc. - Warrant,Q,N,N,G,100.0
RVMDW,"Revolution Medicines, Inc. - Warrant",Q,N,N,Q,100.0
RVSNW,Rail Vision Ltd. - Warrant,Q,N,N,S,100.0
RZLVW,Rezolve AI PLC - Warrants,Q,N,N,S,100.0
SABSW,"SAB Biotherapeutics, Inc. - Warrant",Q,N,N,S,100.0
SAIHW,SAIHEAT Limited - Warrant,Q,N,N,S,100.0
SATLW,Satellogic Inc. - Warrant,Q,N,N,S,100.0
SBCWW,SBC Medical Group Holdings Incorporated - Warrants,Q,N,N,S,100.0
SBFMW,Sunshine Biopharma Inc. - Warrant,Q,N,N,S,100.0
SCAGW,Scage Future - Warrants,Q,N,N,S,100.0
SCLXW,Scilex Holding Company - Warrant,Q,N,N,S,100.0
SDAWW,SunCar Technology Group Inc. - Warrant,Q,N,N,S,100.0
SDSTW,Stardust Power Inc. - Warrant,Q,N,N,S,100.0
SEATW,Vivid Seats Inc. - Warrant,Q,N,N,Q,100.0
SHFSW,"SHF Holdings, Inc. - Warrants",Q,N,N,S,100.0
SHMDW,SCHMID Group N.V. - Warrants,Q,E,N,S,100.0
SIMAW,SIM Acquisition Corp. I - Warrant,Q,N,N,G,100.0
SKYH.W,"Sky Harbour Group Corporation Warrants, each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50 per share",N,N,N, ,100.0
SLDPW,"Solid Power, Inc. - Warrant",Q,N,N,Q,100.0
SLND.W,"Southland Holdings, Inc. Warrants",A,N,N, ,100.0
SLXNW,Silexion Therapeutics Corp - Warrant,Q,N,N,S,100.0
SMXWW,SMX (Security Matters) Public Limited Company - Warrant,Q,N,N,S,100.0
SOCAW,Solarius Capital Acquisition Corp. - Warrant,Q,N,N,G,100.0
SOUNW,"SoundHound AI, Inc. - Warrant",Q,N,N,G,100.0
SPKLW,Spark I Acquisition Corp. - Warrant,Q,N,N,G,100.0
SPWRW,SunPower Inc. - Warrant,Q,N,N,S,100.0
SRTAW,"Strata Critical Medical, Inc. - Warrants",Q,N,N,S,100.0
SRZNW,"Surrozen, Inc. - Warrant",Q,N,N,S,100.0
STSSW,Sharps Technology Inc. - Warrant,Q,N,N,S,100.0
SVACW,Spring Valley Acquisition Corp. III - Warrant,Q,N,N,G,100.0
SVCCW,Stellar V Capital Corp. - Warrant,Q,N,N,G,100.0
SVREW,SaverOne 2014 Ltd. - Warrant,Q,N,N,S,100.0
SWAGW,"Stran & Company, Inc. - Warrant",Q,N,N,S,100.0
SWVLW,Swvl Holdings Corp - Warrant,Q,D,N,S,100.0
SXTPW,"60 Degrees Pharmaceuticals, Inc. - Warrant",Q,N,N,S,100.0
TACHW,Titan Acquisition Corp. - Warrants,Q,N,N,G,100.0
TACOW,Berto Acquisition Corp. - Warrant,Q,N,N,G,100.0
TALKW,"Talkspace, Inc. - Warrant",Q,N,N,S,100.0
TBLAW,Taboola.com Ltd. - Warrant,Q,N,N,Q,100.0
TDACW,Translational Development Acquisition Corp. - Warrants,Q,N,N,G,100.0
TGE.W,"The Generation Essentials Group Warrants, each whole warrant exercisable for one Class A Ordinary Share",A,N,N, ,100.0
TLNCW,Talon Capital Corp. - Warrants,Q,N,N,G,100.0
TLSIW,"TriSalus Life Sciences, Inc. - Warrant",Q,N,N,G,100.0
TMCWW,TMC the metals company Inc. - Warrant,Q,N,N,Q,100.0
TNONW,"Tenon Medical, Inc. - Warrant",Q,N,N,S,100.0
TOIIW,"The Oncology Institute, Inc. - Warrant",Q,N,N,S,100.0
TVACW,Texas Ventures Acquisition III Corp - Warrants,Q,N,N,G,100.0
TVGNW,Tevogen Bio Holdings Inc. - Warrant,Q,N,N,S,100.0
UCFIW,CN Healthy Food Tech Group Corp. - Warrant,Q,N,N,S,100.0
UHGWW,"United Homes Group, Inc - Warrant",Q,N,N,S,100.0
USGOW,U.S. GoldMining Inc. - Warrant,Q,N,N,S,100.0
VACHW,Voyager Acquisition Corp - Warrants,Q,N,N,G,100.0
VACI.U,"Viking Acquisition Corp. I Units, each consisting of one Class A ordinary share and one-third of one Warrant",N,N,N, ,100.0
VACI.W,Viking Acquisition Corp. I Warrants to purchase one Class A Ordinary Share,N,N,N, ,100.0
VAL.W,Valaris Limited Warrants,N,N,N, ,100.0
VCICW,Vine Hill Capital Investment Corp. - Warrant,Q,N,N,G,100.0
VEEAW,Veea Inc. - Warrant,Q,N,N,S,100.0
VFSWW,VinFast Auto Ltd. - Warrant,Q,N,N,S,100.0
VGASW,"Verde Clean Fuels, Inc. - Warrant",Q,N,N,S,100.0
