Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
1,Silver,Basic Materials,92,92,61,63,"MAG,EXK,AG"
2,Utilities - Independent Power Producers,Utilities,90,88,91,93,"TLN,VST,KEN,NRG,TAC,PAM"
3,Banks - Diversified,Financial Services,85,85,79,76,"SAN,BCS,C,BK,ING,HSBC,BBVA,JPM,TD,MUFG,CM,WFC,BMO,UBS,SMFG,NTB,BAC,BNS,RY"
4,Uranium,Energy,80,79,27,35,"LEU,UUUU,CCJ,UEC,NXE,ISOU"
5,Other Precious Metals & Mining,Basic Materials,80,84,73,40,"SBSW,PPTA,MUX,TFPM,BVN,HL"
6,Gold,Basic Materials,78,85,82,57,"CNL,CMCL,ORLA,SSRM,ARMN,AU,USAU,CDE,AAUC,SAND,KGC,IDR,OR,WPM,NG,AEM,GFI,CTGO,NEM,FSM,IAG,PAAS,SA,EGO,B,HMY,AGI,DRD,FNV,CGAU,EQX,AUGO,RGLD,BGL,NAMM"
7,Engineering & Construction,Industrials,77,74,47,68,"ONEG,PHOE,MSGY,WLDN,TPC,AGX,MIMI,STRL,IESC,FIX,MYRG,DY,EME,BWMN,MTZ,PRIM,ECG,APG,PWR,ROAD,STN,FLR,MTRX,ORN,GVA,FER,NVEE,ACM,GLDD,J,ESOA,BLD,AMRC,BBCP,TTEK,ACA,CDLR,VATE,KBR,EXPO"
8,Metal Fabrication,Industrials,75,80,72,61,"MTEN,ATI,CRS,CMPO,WOR,TG,MLI,IIIN,ESAB,PRLB,GIFI,MEC,RYI"
9,Tobacco,Consumer Defensive,74,87,93,75,"TPB,BTI,PM,MO,UVV"
10,Aerospace & Defense,Industrials,74,75,63,62,"RKLB,PL,ISSC,KTOS,ACHR,EVEX,DPRO,ATRO,ESLT,HWM,OPXS,SIF,KRMN,AVAV,LUNR,AXON,RDW,TATT,GE,DRS,DCO,CW,WWD,BYRN,TGI,HEI,BA,CAE,BWXT,VSEC,RTX,AIR,EH,MRCY,ERJ,PKE,NPK,EVTL,TDG,LHX,SPR,NOC,HII,GD,HXL,CODA,POWWP,TXT,SARO,AIRO,CDRE,LOAR,VVX,RGR,LMT,VOYG,SWBI,PEW"
11,Capital Markets,Financial Services,72,67,53,74,"CRCL,BMNR,BTM,HOOD,BTCS,IREN,FUTU,TIGR,IBKR,CIFR,RIOT,SNEX,PJT,GS,COHN,GLXY,LPLA,SCHW,EVR,VIRT,OPY,ETOR,MRX,HUT,LAZ,MS,HLI,SF,FRGE,WULF,PIPR,NMR,MC,TW,PWP,CLSK,BGC,GRAN,XP,JEF,MARA,SOS,MKTX,NCTY,SRL,AMRK,CNCK"
12,Pollution & Treatment Controls,Industrials,72,66,32,73,"ADUR,PCT,CECO,FSS,ARQ,ZWS,VLTO,ERII"
13,Computer Hardware,Technology,72,73,40,61,"RGTI,UMAC,RCAT,IONQ,OSS,STX,WDC,SMCI,ANET,DELL,CRSR,SSYS,SNDK,LOGI,PSTG,ALOT,NTAP,CRCT,QMCO,HPQ"
14,Agricultural Inputs,Basic Materials,71,75,62,58,"MOS,IPI,ICL,CTVA,CF,NTR,UAN,SMG,FMC"
15,Travel Services,Consumer Cyclical,71,53,47,80,"RCL,CUK,CCL,VIK,TNL,BKNG,LIND,EXPE,TRIP,NCLH,TCOM,ABNB,MMYT,GBTG,PRSU"
16,Entertainment,Communication Services,70,74,64,64,"CNVS,AENT,WBD,LLYVK,LLYVA,STRZ,NFLX,ROKU,DIS,LYV,FOXA,PLAY,FOX,IMAX,TKO,SPHR,FWONK,FWONA,PARA,MANU,BATRK,BATRA,NWS,MCS,RDIB,NWSA,CNK,WMG,PARAA,RSVR,MSGS,SIRI,BREA,AMCX"
17,Communication Equipment,Technology,70,68,58,76,"ASTS,COMM,TSAT,AAOI,FEIM,UI,OCC,LITE,BOSC,BKTI,CIEN,GILT,VSAT,EXTR,CLFD,ADTN,CSCO,BDC,NTGR,DGII,AVNW,ZBRA,SILC,HPE,VIAV,AUDC,MSI,ERIC,AIRG,HLIT,INSG,CLRO"
18,Utilities - Renewable,Utilities,70,59,59,31,"WAVE,ENLT,CEG,BEPC,ELLO,FLNC,ORA,STEM,RNW,BEP,CWEN,EBR,XIFR,HTOO"
19,Confectioners,Consumer Defensive,70,43,68,20,"TR,HSY,MDLZ"
20,Solar,Technology,68,50,21,13,"VVPR,SEDG,NXT,FTCI,SHLS,JKS,FSLR,RUN,ARRY,CSIQ,ENPH"
21,Aluminum,Basic Materials,67,50,20,36,"CENX,KALU,CSTM,AA"
22,Airlines,Industrials,67,52,32,79,"SRFM,LTM,RYAAY,UAL,SKYW,CPA,LUV,DAL,ALK,SNCY,AAL,VLRS,ALGT"
23,Gambling,Consumer Cyclical,66,58,47,52,"SBET,SGHC,FLUT,RSI,DKNG,ACEL,CDRO,INSE,LNW,CHDN,GAMB,BRSL"
24,Financial Conglomerates,Financial Services,66,24,35,24,"FRHC,RILYL,RILYP,RILY,IX,VOYA,HTH,TREE"
25,Electrical Equipment & Parts,Industrials,65,63,42,63,"TGEN,AMPX,LTBR,BE,RFIL,EOSE,ESP,NEOV,ENVX,VRT,ULBI,AEIS,POWL,NVT,HUBB,AYI,HAYW,KE,PLPC,ENS,ATKR,ENVXW,IPWR,FCEL,ADSE,ENR"
26,Internet Retail,Consumer Cyclical,65,57,53,63,"NEGG,TDUP,OCG,W,BYON,DASH,SE,CPNG,EBAY,ETSY,BABA,CART,AMZN,MELI,VIPS,CHWY,PDD,RVLV,JD,WBUY,LQDT,GLBE,JFBR,QVCGP"
27,Medical Distribution,Healthcare,65,72,61,68,"YI,CAH,MCK,COR,HSIC,OMI"
28,Auto Parts,Consumer Cyclical,64,54,35,40,"HSAI,QS,STRT,MPAA,CPS,AAP,GTX,ADNT,SRI,VC,DAN,ALV,ORLY,SMP,PLOW,AZO,PHIN,BWA,APTV,GPC,MGA,ATMU,DORM,GT,FOXF,XPEL,GNTX,LEA,MOD,THRM,ALSN,MBLY,MLR,MNRO,LKQ"
29,Airports & Air Services,Industrials,64,73,84,62,"JOBY,OMAB,PAC,CAAP,ASR,ASLE"
30,Electronic Components,Technology,62,64,47,65,"NEON,OUST,CLS,TTMI,ALNT,JBL,BELFB,APH,KULR,FLEX,TEL,FN,LINK,OSIS,BELFA,SANM,GLW,DAKT,KN,LYTS,ELTK,LFUS,VICR,RELL,PLXS,OLED,BHE,CTS,MPTI,ROG,MEI,GAUZ,HOLO"
31,Luxury Goods,Consumer Cyclical,62,56,51,63,"SORA,TPR,REAL,SIG,LUXE,ELA,MOV,CPRI"
32,Farm & Heavy Construction Machinery,Industrials,62,60,35,42,"AGFY,REVG,MTW,OSK,CAT,ALG,TWI,DE,AGCO,ASTE,CNH,BLBD,TEX,VAPE,LNN,PCAR,GENC,AEBI,HY,WNC,CMCO"
33,Department Stores,Consumer Cyclical,62,21,7,33,"DDS,KSS,M"
34,Auto Manufacturers,Consumer Cyclical,61,55,53,39,"FLYE,CYD,XPEV,ZK,LI,TSLA,RACE,RIVN,HMC,GM,F,TM,VLCN,STLA,AYRO"
35,Resorts & Casinos,Consumer Cyclical,61,45,22,36,"MLCO,MCRI,HGV,WYNN,LVS,BYD,VAC,RRR,MGM,PENN,MTN,GDEN,CZR,BALY"
36,Industrial Distribution,Industrials,61,55,39,47,"DXPE,EVI,CNM,REZI,FAST,WCC,TITN,FERG,AIT,MSM,DNOW,GIC,WSO,SITE,GWW,POOL,DSGR,BXC"
37,Scientific & Technical Instruments,Technology,61,61,52,66,"MIND,ESE,TRMB,ACFN,ITRN,COHR,ITRI,GRMN,TDY,ST,LGL,VPG,VNT,KEYS,MKSI,CGNX,FTV,BMI,NOVT,ASTC,MLAB"
38,Specialty Industrial Machinery,Industrials,60,54,36,60,"PSIX,SMR,GEV,SYM,NNE,AMSC,GHM,MIR,XMTR,HUHU,SERV,GTES,ROK,EMR,NPO,JBTM,CR,WTS,ETN,TAYD,PH,CMI,RRX,GTLS,GNRC,ATS,ITT,PNR,HURC,CXT,GRC,KRNT,FLS,MIDD,MWA,XYL,ITW,AME,HLIO,KAI,DOV,NDSN,SXI,DCI,IR,LXFR,GGG,AOS,THR,TNC,FELE,TWIN,IEX,OTIS,EPAC,OFLX,CSW,HI,PKOH"
39,Food Distribution,Consumer Defensive,60,56,58,47,"WILC,SPTN,USFD,CHEF,UNFI,PFGC,SYY,AVO,CVGW,DIT,ANDE,TWG"
40,Education & Training Services,Consumer Defensive,60,61,61,58,"QSG,LGCY,STG,COE,LINC,DAO,APEI,COUR,FEDU,UTI,LRN,LAUR,ATGE,PRDO,LOPE,GHC,MH,UDMY,TAL,STRA,EDU,AFYA,SKIL,FC,KLC"
41,Credit Services,Financial Services,59,67,62,69,"SEZL,XYF,UPST,SOFI,FOA,LX,OPRT,OPFI,SYF,FINV,SLM,COF,BFH,WRLD,OMF,V,ENVA,GDOT,AXP,MA,PYPL,NNI,ATLC,MFIN,QFIN,YRD,ALLY,RWAY,EZPW,FCFS,CACC,SLMBP,NAVI,OMCC,RM,ATLCP,ANTA,ECPG,AGM,CPSS,JCAP,WU,PRAA,PMTS"
42,Lodging,Consumer Cyclical,59,48,40,71,"ATAT,HLT,SHCO,MAR,H,WH,CVEO,IHG,CHH,HTHT"
43,Semiconductors,Technology,59,60,24,48,"ALMU,NVTS,CRDO,LASR,WKEY,ALAB,POET,ALGM,AVGO,PXLW,NVDA,SMTC,AMD,SIMO,TSM,MCHPP,HIMX,RMBS,MTSI,ARM,SLAB,SKYT,MU,MCHP,MXL,AIP,SITM,ON,TSEM,MRAM,ADI,ASX,VSH,UMC,QRVO,MPWR,NXPI,TXN,MRVL,LSCC,GFS,PI,DIOD,STM,QCOM,AOSL,SYNA,CRUS,NVEC,IMOS,INTC,CEVA,SWKS,POWI,QUIK"
44,Discount Stores,Consumer Defensive,58,71,74,59,"DLTR,OLLI,DG,PSMT,WMT,BJ,COST,TGT,TBBB"
45,Internet Content & Information,Communication Services,58,52,51,54,"AREN,SOGP,GRPN,NBIS,JFIN,TME,RDDT,SPOT,BMBL,CMCM,BZ,BILI,LCFY,MOMO,JOYY,META,Z,ZG,PERI,EVER,GENI,PINS,RUM,VBIX,WB,OPRA,GOOGL,GOOG,IAC,MTCH,UPWK,FVRR,ATHM,ANGI,BIDU,MAX,YELP,NRDS,SNAP,CARS,DOYU,TZOO,WBTN,UPXI,SSTK,SCOR,THRY,DJT,DJTWW,SLE"
46,Software - Infrastructure,Technology,58,60,55,62,"AEVA,ARQQ,PDYN,PLTR,CRWV,TAOX,PGY,PAYS,VHC,GRRR,JG,NET,SUPX,ZENA,ALLT,AISP,RBRK,ODD,ORCL,TWLO,AFRM,AMBR,TOST,ZS,NYAX,CALX,NN,BKKT,VRSN,KPLT,BASE,CTLP,CRWD,YEXT,MQ,RDWR,AVPT,CORZ,FFIV,GCT,FOUR,FTNT,MSFT,NTNX,SNPS,XYZ,CSGS,IIIV,CYBR,VRNS,DLO,RAMP,ATEN,TCX,GB,GEN,MDB,PANW,OKTA,STNE,ALAR,CFLT,CHKP,INFA,CGNT,EXOD,BOX,WEX,EVCM,PAY,AVDX,NTCT,EEFT,QLYS,KVYO,SAIL,AI,DOX,DBX,CPAY,CCSI,EVTC,PRTH,PATH,VRNT,RELY,OS,BLZE,SANG,OSPN,GDDY,BAND,PAYO,IOT,ZETA,S,FIVN,APPN,FLYW,ACIW,GTLB,CINT,AKAM,PAGS,TENB,PRGS,WIX,RPAY,DOCN,HPAI,KSPI,TDC,ARAI,CLBT,SNCR,PSFE,RPD,FATN,DAVA,IMXI,MLGO"
47,Copper,Basic Materials,57,72,18,14,"IE,HBM,MTAL,FCX,SCCO,ERO"
48,Rental & Leasing Services,Industrials,57,54,43,53,"CAR,HTZ,ALTG,CTOS,R,AL,URI,MGRC,AER,FTAI,GATX,FTAIM,HRI,WLFC,FTAIN,WSC,UHAL,PRG,VSTS"
49,Waste Management,Industrials,56,71,56,52,"PESI,NVRI,RSG,MEG,GFL,WM,CLH,WCN,CWST"
50,Financial Data & Stock Exchanges,Financial Services,56,58,51,64,"COIN,MKTW,NDAQ,CBOE,CME,ICE,MCO,TRU,SPGI,MSCI,FDS,VALU,MORN,DNB"
51,Electronic Gaming & Multimedia,Communication Services,56,53,45,40,"RBLX,SKLZ,NTES,SOHU,TTWO,EA,GRVY,DDI,GDEV,TRUG"
52,Utilities - Regulated Electric,Utilities,56,59,81,52,"OKLO,KEP,GNE,TXNM,ETR,ELPC,EMA,CNP,ELP,VIASP,IDA,CEPU,XEL,WEC,AEE,ES,PPL,EVRG,DTE,LNT,FTS,SO,AEP,NGG,D,OGE,EXC,CMS,PEG,DUK,EDN,PNW,HE,FE,ED,NEE,MGEE,POR,NWE,EIX,PCG"
53,Oil & Gas Refining & Marketing,Energy,55,46,30,26,"PARR,DK,CVI,DINO,MPC,VLO,DKL,WKC,PSX,PBF,CAPL,SGU,SUN,IEP"
54,Footwear & Accessories,Consumer Cyclical,55,40,31,63,"FORD,FMFC,WWW,RCKY,NKE,ONON,SKX,WEYS,BIRK,CROX,SHOO,DECK"
55,Grocery Stores,Consumer Defensive,54,61,76,60,"SFM,KR,NGVC,VLGEA,WMK,IMKTA,ACI,GO"
