Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
1,Silver,Basic Materials,92,92,62,63,"EXK,MAG,AG"
2,Utilities - Independent Power Producers,Utilities,90,88,91,93,"TLN,KEN,NRG,VST,TAC,PAM"
3,Banks - Diversified,Financial Services,85,85,79,76,"SAN,BCS,C,BK,ING,HSBC,BBVA,JPM,TD,MUFG,CM,WFC,UBS,BMO,SMFG,NTB,BAC,BNS,RY"
4,Other Precious Metals & Mining,Basic Materials,82,84,73,40,"SBSW,PPTA,MUX,TFPM,BVN,HL"
5,Uranium,Energy,80,79,27,35,"LEU,UUUU,CCJ,UEC,NXE,ISOU"
6,Gold,Basic Materials,79,85,82,57,"CNL,CMCL,ORLA,SSRM,ARMN,AU,USAU,CDE,AAUC,SAND,KGC,IDR,WPM,OR,NG,AEM,GFI,NEM,FSM,CTGO,IAG,PAAS,EGO,SA,DRD,B,HMY,AGI,FNV,CGAU,EQX,AUGO,RGLD,BGL,NAMM"
7,Engineering & Construction,Industrials,78,74,48,68,"ONEG,MSGY,PHOE,WLDN,TPC,AGX,MIMI,IESC,STRL,FIX,MYRG,ECG,EME,DY,BWMN,MTZ,PRIM,APG,PWR,ROAD,ORN,STN,FLR,MTRX,GVA,FER,NVEE,ACM,ESOA,GLDD,J,BLD,BBCP,AMRC,ACA,TTEK,CDLR,VATE,KBR,EXPO"
8,Metal Fabrication,Industrials,77,80,72,61,"MTEN,ATI,CRS,CMPO,WOR,TG,IIIN,MLI,ESAB,PRLB,GIFI,MEC,RYI"
9,Tobacco,Consumer Defensive,74,87,93,75,"TPB,BTI,PM,MO,UVV"
10,Aerospace & Defense,Industrials,74,75,63,62,"RKLB,PL,ISSC,KTOS,ACHR,EVEX,DPRO,ATRO,HWM,ESLT,OPXS,LUNR,AVAV,KRMN,SIF,RDW,AXON,TATT,DCO,DRS,GE,CW,WWD,BYRN,HEI,BA,CAE,TGI,EVTL,BWXT,VSEC,RTX,MRCY,EH,AIR,PKE,NPK,ERJ,TDG,SPR,LHX,NOC,HII,GD,HXL,POWWP,CODA,TXT,SARO,CDRE,AIRO,LOAR,VVX,RGR,LMT,VOYG,SWBI,PEW"
11,Pollution & Treatment Controls,Industrials,73,66,32,73,"ADUR,PCT,CECO,FSS,ARQ,ZWS,VLTO,ERII"
12,Agricultural Inputs,Basic Materials,72,75,62,58,"MOS,IPI,ICL,CTVA,CF,NTR,UAN,SMG,FMC"
13,Capital Markets,Financial Services,72,67,53,74,"CRCL,BMNR,BTM,HOOD,BTCS,IREN,FUTU,TIGR,IBKR,CIFR,RIOT,SNEX,GS,GLXY,PJT,COHN,LPLA,SCHW,EVR,VIRT,OPY,ETOR,HUT,LAZ,MRX,MS,WULF,SF,HLI,FRGE,PIPR,NMR,MC,TW,PWP,CLSK,BGC,GRAN,XP,JEF,MARA,SOS,MKTX,NCTY,SRL,AMRK,CNCK"
14,Computer Hardware,Technology,72,73,40,61,"RGTI,UMAC,IONQ,RCAT,OSS,STX,WDC,SMCI,ANET,DELL,SNDK,CRSR,SSYS,LOGI,PSTG,ALOT,NTAP,CRCT,QMCO,HPQ"
15,Solar,Technology,71,50,21,13,"VVPR,SEDG,NXT,FTCI,SHLS,JKS,FSLR,ARRY,RUN,CSIQ,ENPH"
16,Travel Services,Consumer Cyclical,71,53,47,80,"RCL,CUK,CCL,VIK,TNL,LIND,BKNG,EXPE,TRIP,NCLH,TCOM,ABNB,MMYT,GBTG,PRSU"
17,Confectioners,Consumer Defensive,71,43,69,20,"TR,HSY,MDLZ"
18,Entertainment,Communication Services,70,74,64,64,"CNVS,AENT,WBD,LLYVK,LLYVA,STRZ,NFLX,ROKU,PLAY,DIS,LYV,FOXA,FOX,IMAX,TKO,FWONK,SPHR,FWONA,PARA,BATRK,BATRA,MANU,NWS,MCS,RDIB,NWSA,CNK,PARAA,WMG,RSVR,MSGS,SIRI,BREA,AMCX"
19,Utilities - Renewable,Utilities,70,59,59,31,"WAVE,ENLT,CEG,STEM,BEPC,FLNC,ELLO,ORA,RNW,CWEN,BEP,EBR,XIFR,HTOO"
20,Communication Equipment,Technology,70,69,58,76,"ASTS,COMM,TSAT,AAOI,FEIM,UI,OCC,LITE,BOSC,BKTI,VSAT,CIEN,GILT,EXTR,CLFD,ADTN,CSCO,BDC,NTGR,DGII,AVNW,ZBRA,HPE,SILC,VIAV,AUDC,MSI,ERIC,AIRG,HLIT,INSG,CLRO"
21,Aluminum,Basic Materials,68,50,20,36,"CENX,CSTM,KALU,AA"
22,Electrical Equipment & Parts,Industrials,67,64,43,64,"TGEN,AMPX,LTBR,BE,RFIL,ESP,EOSE,NEOV,ENVX,VRT,ULBI,AEIS,POWL,NVT,HUBB,AYI,HAYW,KE,PLPC,ENVXW,ENS,ATKR,FCEL,IPWR,ADSE,ENR"
23,Gambling,Consumer Cyclical,67,58,47,52,"SBET,SGHC,FLUT,RSI,DKNG,ACEL,CDRO,INSE,LNW,CHDN,GAMB,BRSL"
24,Auto Parts,Consumer Cyclical,66,54,35,40,"HSAI,QS,STRT,MPAA,CPS,AAP,GTX,ADNT,SRI,VC,DAN,ALV,ORLY,PHIN,SMP,PLOW,BWA,AZO,APTV,GPC,MGA,ATMU,GT,DORM,FOXF,GNTX,XPEL,MOD,THRM,LEA,ALSN,MBLY,LKQ,MNRO,MLR"
25,Airlines,Industrials,66,52,32,79,"SRFM,LTM,RYAAY,UAL,SKYW,CPA,LUV,ALK,DAL,SNCY,AAL,VLRS,ALGT"
26,Medical Distribution,Healthcare,65,72,61,68,"YI,CAH,MCK,COR,HSIC,OMI"
27,Airports & Air Services,Industrials,65,73,84,62,"JOBY,OMAB,PAC,CAAP,ASR,ASLE"
