Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,WVE,21.31,37582360.0,Healthcare,Biotechnology,97.0,98.0,98.0,97.0,4883338.0,16578280.0,21.73,5.28,3562643968.0,No
Leading Stocks (RS > 90),2,LYEL,29.27,105737.0,Healthcare,Biotechnology,97.0,98.0,98.0,97.0,46241.0,59660.0,29.9,7.65,621057216.0,No
Leading Stocks (RS > 90),3,WBD,28.26,104080878.0,Communication Services,Entertainment,97.0,95.0,98.0,97.0,53767765.0,65091700.0,28.34,7.52,70027558912.0,No
Leading Stocks (RS > 90),4,BLTE,149.13,246353.0,Healthcare,Biotechnology,97.0,96.0,98.0,97.0,132990.0,382690.0,160.55,49.0,5594557440.0,No
Leading Stocks (RS > 90),5,INDV,36.01,3457227.0,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,92.0,95.0,97.0,2166261.0,2138210.0,38.0,7.62,4502129664.0,No
Leading Stocks (RS > 90),6,SRZN,22.1,172195.0,Healthcare,Biotechnology,96.0,98.0,97.0,97.0,61090.0,121460.0,22.69,5.9,189428400.0,No
Leading Stocks (RS > 90),7,KYMR,86.88,2338644.0,Healthcare,Biotechnology,96.0,97.0,97.0,94.0,865392.0,1348740.0,103.0,19.45,6250931200.0,No
Leading Stocks (RS > 90),8,AXGN,30.61,1399720.0,Healthcare,Medical Devices,96.0,96.0,97.0,97.0,915068.0,1094790.0,34.24,9.22,1411803264.0,No
Leading Stocks (RS > 90),9,TSAT,32.38,184631.0,Technology,Communication Equipment,95.0,95.0,95.0,95.0,114933.0,70970.0,36.85,14.31,1650033664.0,No
Leading Stocks (RS > 90),10,TYRA,22.12,484965.0,Healthcare,Biotechnology,95.0,98.0,97.0,95.0,322192.0,509990.0,23.23,6.42,1180590848.0,No
Leading Stocks (RS > 90),11,PAAS,48.41,16646427.0,Basic Materials,Gold,94.0,97.0,93.0,93.0,6376841.0,5659810.0,48.78,19.8,20431296512.0,No
Leading Stocks (RS > 90),12,FROG,68.83,3215701.0,Technology,Software - Application,94.0,92.0,94.0,93.0,1332653.0,1612780.0,68.91,27.0,8143472640.0,No
Leading Stocks (RS > 90),13,ISBA,48.99,27736.0,Financial Services,Banks - Regional,94.0,95.0,95.0,91.0,14100.0,16550.0,49.2,21.5,360562112.0,No
