Section,Ticker,Price,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile,Sector,Industry
🔹 RS > 90: Leading Stocks,PTIR,25.64,99,99.0,99.0,99.0,ETF,ETF
🔹 RS > 90: Leading Stocks,CRCL,185.36,99,99.0,99.0,99.0,Financial Services,Capital Markets
🔹 RS > 90: Leading Stocks,SEZL,146.49,99,99.0,99.0,99.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,ALMU,24.04,99,99.0,99.0,97.0,Technology,Semiconductors
🔹 RS > 90: Leading Stocks,HOOX,110.4,99,99.0,91.0,99.0,ETF,ETF
🔹 RS > 90: Leading Stocks,OKLO,75.5,99,99.0,95.0,99.0,Utilities,Utilities - Regulated Electric
🔹 RS > 90: Leading Stocks,RKLX,86.33,99,99.0,96.0,99.0,ETF,ETF
🔹 RS > 90: Leading Stocks,SDM,25.23,99,91.0,99.0,99.0,Communication Services,Advertising Agencies
🔹 RS > 90: Leading Stocks,CDTX,62.68,99,99.0,97.0,94.0,Healthcare,Biotechnology
🔹 RS > 90: Leading Stocks,NEON,25.24,99,99.0,99.0,99.0,Technology,Electronic Components
🔹 RS > 90: Leading Stocks,DAVE,213.13,99,99.0,98.0,99.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,RKLB,45.11,99,99.0,99.0,99.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,AGFY,24.83,99,99.0,99.0,99.0,Industrials,Farm & Heavy Construction Machinery
🔹 RS > 90: Leading Stocks,MP,64.11,99,97.0,96.0,93.0,Basic Materials,Other Industrial Metals & Mining
🔹 RS > 90: Leading Stocks,SMR,50.99,99,99.0,96.0,99.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,HOOD,106.77,99,99.0,98.0,99.0,Financial Services,Capital Markets
🔹 RS > 90: Leading Stocks,ARQQ,36.74,99,99.0,96.0,99.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,PLTR,157.88,99,99.0,99.0,99.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,HSAI,21.9,99,99.0,99.0,99.0,Consumer Cyclical,Auto Parts
🔹 RS > 90: Leading Stocks,CRDO,107.95,99,99.0,95.0,99.0,Technology,Semiconductors
🔹 RS > 90: Leading Stocks,VRNA,105.09,99,99.0,99.0,99.0,Healthcare,Biotechnology
🔹 RS > 90: Leading Stocks,ASTS,54.22,99,99.0,99.0,99.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,CTEV,40.39,99,99.0,96.0,92.0,Healthcare,Health Information Services
🔹 RS > 90: Leading Stocks,CLS,173.37,98,98.0,95.0,98.0,Technology,Electronic Components
🔹 RS > 90: Leading Stocks,IONQ,42.34,98,99.0,99.0,99.0,Technology,Computer Hardware
🔹 RS > 90: Leading Stocks,GEV,647.66,98,98.0,98.0,97.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,ATGL,20.53,98,99.0,99.0,99.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,RGTX,48.9,98,95.0,92.0,98.0,ETF,ETF
🔹 RS > 90: Leading Stocks,BE,34.78,98,94.0,95.0,98.0,Industrials,Electrical Equipment & Parts
🔹 RS > 90: Leading Stocks,RBLX,120.96,98,98.0,97.0,96.0,Communication Services,Electronic Gaming & Multimedia
🔹 RS > 90: Leading Stocks,HIMS,58.68,98,98.0,97.0,99.0,Consumer Defensive,Household & Personal Products
🔹 RS > 90: Leading Stocks,APP,370.96,98,98.0,99.0,99.0,Communication Services,Advertising Agencies
🔹 RS > 90: Leading Stocks,IONX,64.07,98,98.0,95.0,98.0,ETF,ETF
🔹 RS > 90: Leading Stocks,TLN,358.77,98,97.0,97.0,98.0,Utilities,Utilities - Independent Power Producers
🔹 RS > 90: Leading Stocks,KTOS,59.36,98,97.0,96.0,96.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,IPX,40.39,98,96.0,91.0,95.0,Basic Materials,Other Industrial Metals & Mining
🔹 RS > 90: Leading Stocks,AS,38.6,98,98.0,95.0,98.0,Consumer Cyclical,Leisure
🔹 RS > 90: Leading Stocks,TPR,110.42,98,96.0,96.0,96.0,Consumer Cyclical,Luxury Goods
🔹 RS > 90: Leading Stocks,AGX,236.89,98,98.0,98.0,97.0,Industrials,Engineering & Construction
🔹 RS > 90: Leading Stocks,GDS,36.52,98,97.0,98.0,98.0,Technology,Information Technology Services
🔹 RS > 90: Leading Stocks,FUTU,162.67,98,94.0,91.0,92.0,Financial Services,Capital Markets
🔹 RS > 90: Leading Stocks,NET,199.41,97,98.0,93.0,95.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,XYZG,27.5,97,95.0,96.0,97.0,ETF,ETF
🔹 RS > 90: Leading Stocks,TSAT,25.33,97,97.0,96.0,97.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,INOD,49.45,97,98.0,99.0,99.0,Technology,Information Technology Services
🔹 RS > 90: Leading Stocks,UPST,82.3,97,96.0,94.0,97.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,SEI,32.61,97,97.0,97.0,99.0,Energy,Oil & Gas Equipment & Services
🔹 RS > 90: Leading Stocks,SOFI,21.02,97,97.0,94.0,97.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,SNWV,35.75,97,95.0,97.0,97.0,Healthcare,Medical Devices
🔹 RS > 90: Leading Stocks,NNE,37.88,97,96.0,98.0,99.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,FEIM,27.87,97,97.0,97.0,93.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,SMU,47.77,97,97.0,98.0,97.0,ETF,ETF
🔹 RS > 90: Leading Stocks,VST,195.88,97,97.0,93.0,98.0,Utilities,Utilities - Independent Power Producers
🔹 RS > 90: Leading Stocks,GRAL,38.27,97,99.0,99.0,98.0,Healthcare,Diagnostics & Research
🔹 RS > 90: Leading Stocks,SRAD,28.0,96,97.0,98.0,97.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,COE,29.0,96,98.0,97.0,97.0,Consumer Defensive,Education & Training Services
🔹 RS > 90: Leading Stocks,FOA,24.12,96,98.0,99.0,99.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,KDEF,41.85,96,97.0,96.0,96.0,ETF,ETF
🔹 RS > 90: Leading Stocks,CCRD,27.89,96,96.0,95.0,96.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,RBRK,87.11,96,98.0,97.0,97.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,CVNA,336.33,96,97.0,98.0,98.0,Consumer Cyclical,Auto & Truck Dealerships
🔹 RS > 90: Leading Stocks,UI,459.5,96,97.0,98.0,98.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,NRG,158.54,96,97.0,95.0,92.0,Utilities,Utilities - Independent Power Producers
🔹 RS > 90: Leading Stocks,HRTG,20.62,96,98.0,99.0,92.0,Financial Services,Insurance - Property & Casualty
🔹 RS > 90: Leading Stocks,ESLT,452.15,96,97.0,98.0,93.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,SRRK,37.09,96,99.0,98.0,99.0,Healthcare,Biotechnology
🔹 RS > 90: Leading Stocks,HWM,188.17,96,97.0,97.0,95.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,LMB,135.64,96,98.0,96.0,95.0,Industrials,Building Products & Equipment
🔹 RS > 90: Leading Stocks,BTCL,63.25,96,96.0,92.0,98.0,ETF,ETF
🔹 RS > 90: Leading Stocks,URBN,77.72,96,95.0,91.0,92.0,Consumer Cyclical,Apparel Retail
🔹 RS > 90: Leading Stocks,ACFN,21.95,96,92.0,94.0,97.0,Technology,Scientific & Technical Instruments
🔹 RS > 90: Leading Stocks,OPOF,40.5,96,98.0,99.0,92.0,Financial Services,Banks - Regional
🔹 RS > 90: Leading Stocks,WILC,21.42,96,94.0,94.0,95.0,Consumer Defensive,Food Distribution
🔹 RS > 90: Leading Stocks,AFRM,67.51,95,96.0,94.0,96.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,DXPE,111.76,95,93.0,97.0,98.0,Industrials,Industrial Distribution
🔹 RS > 90: Leading Stocks,MIR,22.3,95,96.0,93.0,92.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,DASH,246.44,95,96.0,96.0,94.0,Consumer Cyclical,Internet Retail
🔹 RS > 90: Leading Stocks,SE,160.74,95,96.0,98.0,97.0,Consumer Cyclical,Internet Retail
🔹 RS > 90: Leading Stocks,CRS,276.31,95,97.0,96.0,97.0,Industrials,Metal Fabrication
🔹 RS > 90: Leading Stocks,AVGG,23.03,95,93.0,96.0,95.0,ETF,ETF
🔹 RS > 90: Leading Stocks,BKTI,40.05,95,98.0,99.0,98.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,ROOT,118.74,95,98.0,99.0,99.0,Financial Services,Insurance - Property & Casualty
🔹 RS > 90: Leading Stocks,KRMN,50.29,95,96.0,92.0,95.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,TWLO,131.51,95,96.0,92.0,98.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,TESL,23.76,95,97.0,97.0,98.0,ETF,ETF
🔹 RS > 90: Leading Stocks,NFLU,56.25,95,98.0,98.0,96.0,ETF,ETF
🔹 RS > 90: Leading Stocks,PYPG,22.31,95,95.0,94.0,95.0,ETF,ETF
🔹 RS > 90: Leading Stocks,MSTR,403.8,95,97.0,98.0,99.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,DXYZ,32.15,95,98.0,99.0,99.0,Financial Services,Asset Management
🔹 RS > 90: Leading Stocks,RDDT,151.6,95,96.0,97.0,99.0,Communication Services,Internet Content & Information
🔹 RS > 90: Leading Stocks,NFXL,55.59,95,98.0,98.0,96.0,ETF,ETF
🔹 RS > 90: Leading Stocks,TPB,77.92,95,96.0,97.0,96.0,Consumer Defensive,Tobacco
🔹 RS > 90: Leading Stocks,AXON,736.29,95,97.0,97.0,98.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,SPOT,700.98,94,97.0,98.0,97.0,Communication Services,Internet Content & Information
🔹 RS > 90: Leading Stocks,LMND,38.88,94,97.0,94.0,96.0,Financial Services,Insurance - Property & Casualty
🔹 RS > 90: Leading Stocks,TOST,48.93,94,94.0,91.0,95.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,PDEX,53.5,94,93.0,99.0,94.0,Healthcare,Medical Instruments & Supplies
🔹 RS > 90: Leading Stocks,BTGD,39.11,94,95.0,96.0,94.0,ETF,ETF
🔹 RS > 90: Leading Stocks,FRHC,175.58,94,92.0,97.0,95.0,Financial Services,Financial Conglomerates
