Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,STRT,74.17,372359,Consumer Cyclical,Auto Parts,98.0,97.0,94.0,95.0,82480.0,67090.0,78.5,30.79,300458240.0,No
Leading Stocks (RS > 90),2,PSIX,96.32,990767,Industrials,Specialty Industrial Machinery,99.0,99.0,99.0,99.0,545151.0,738330.0,121.78,10.76,2216178688.0,No
Leading Stocks (RS > 90),3,PPIH,25.12,104727,Industrials,Building Products & Equipment,98.0,98.0,92.0,94.0,54504.0,89190.0,26.92,8.23,200522160.0,No
Leading Stocks (RS > 90),4,CYD,28.17,376342,Consumer Cyclical,Auto Manufacturers,98.0,98.0,98.0,94.0,212075.0,288810.0,30.64,8.61,1056890496.0,No
Leading Stocks (RS > 90),5,SNWV,42.75,132317,Healthcare,Medical Devices,98.0,97.0,98.0,97.0,83622.0,43950.0,46.59,10.0,365867968.0,No
Leading Stocks (RS > 90),6,ASA,35.22,469173,Financial Services,Asset Management,94.0,91.0,95.0,94.0,69051.0,68780.0,35.6,17.64,664727744.0,No
Leading Stocks (RS > 90),7,LITE,114.88,3299410,Technology,Communication Equipment,97.0,94.0,94.0,92.0,2157951.0,1958610.0,119.41,43.28,7970937344.0,No
Leading Stocks (RS > 90),8,LLYVA,85.96,227178,Communication Services,Entertainment,94.0,93.0,97.0,97.0,109346.0,184750.0,87.55,37.04,8050340864.0,No
Leading Stocks (RS > 90),9,SE,146.08,6488072,Consumer Cyclical,Internet Retail,93.0,94.0,98.0,98.0,4311450.0,3529840.0,172.65,65.15,86547398656.0,No
"Top Movers (RS ≥ 85, Improving)",1,CTGO,22.17,313474,Basic Materials,Gold,95.0,93.0,19.0,1.0,93667.0,72540.0,23.95,8.85,278248352.0,No
"Top Movers (RS ≥ 85, Improving)",2,ASMB,23.43,206646,Healthcare,Biotechnology,97.0,95.0,17.0,8.0,39450.0,93090.0,24.71,7.75,177840352.0,No
"Top Movers (RS ≥ 85, Improving)",3,GCT,30.19,2756197,Technology,Software - Infrastructure,95.0,82.0,8.0,6.0,763104.0,934910.0,31.45,11.17,1138646144.0,No
"Top Movers (RS ≥ 85, Improving)",4,LASR,26.37,1843486,Technology,Semiconductors,98.0,97.0,89.0,10.0,875670.0,1262460.0,27.8,6.2,1303966848.0,No
"Top Movers (RS ≥ 85, Improving)",5,CMCL,21.36,292866,Basic Materials,Gold,97.0,96.0,94.0,18.0,172866.0,158040.0,24.49,8.8,412136928.0,No
"Top Movers (RS ≥ 85, Improving)",6,ANIP,84.63,1428479,Healthcare,Drug Manufacturers - Specialty & Generic,93.0,43.0,42.0,24.0,364153.0,585820.0,87.95,52.5,1836554496.0,No
"Top Movers (RS ≥ 85, Improving)",7,AIR,75.01,682687,Industrials,Aerospace & Defense,85.0,82.0,21.0,19.0,345712.0,364990.0,86.43,46.51,2704867328.0,No
"Top Movers (RS ≥ 85, Improving)",8,WLDN,112.77,684208,Industrials,Engineering & Construction,99.0,98.0,94.0,44.0,300190.0,524310.0,114.69,30.43,1647682432.0,No
